Tournament,Stage,Match Type,Match Name,Team,Action,Map,tournament
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Natus Vincere,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Team Liquid,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Natus Vincere,pick,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Team Liquid,pick,Bind,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Natus Vincere,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Team Liquid,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,LOUD,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,DRX,ban,Bind,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,LOUD,pick,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,DRX,pick,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,LOUD,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,DRX,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,T1,ban,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,FUT Esports,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,T1,pick,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,FUT Esports,pick,Haven,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,T1,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,FUT Esports,ban,Bind,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Evil Geniuses,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,FunPlus Phoenix,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Evil Geniuses,pick,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,FunPlus Phoenix,pick,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Evil Geniuses,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,FunPlus Phoenix,ban,Split,vct_2023
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Natus Vincere,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,DRX,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Natus Vincere,pick,Bind,vct_2023
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,DRX,pick,Split,vct_2023
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Natus Vincere,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,DRX,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Bilibili Gaming,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,NRG Esports,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Bilibili Gaming,pick,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,NRG Esports,pick,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Bilibili Gaming,ban,Bind,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,NRG Esports,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,ZETA DIVISION,ban,Bind,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,FNATIC,ban,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,ZETA DIVISION,pick,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,FNATIC,pick,Haven,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,ZETA DIVISION,ban,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,FNATIC,ban,Split,vct_2023
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Evil Geniuses,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,FUT Esports,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Evil Geniuses,pick,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,FUT Esports,pick,Bind,vct_2023
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Evil Geniuses,ban,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,FUT Esports,ban,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,KRÜ Esports,ban,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,ban,Haven,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,KRÜ Esports,pick,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Paper Rex,pick,Pearl,vct_2023
