Tournament,Stage,Match Type,Match Name,Map,tournament
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),Team Liquid vs Natus Vincere,Bind,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (D),DRX vs LOUD,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),FUT Esports vs T1,Haven,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Opening (B),Evil Geniuses vs FunPlus Phoenix,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Bind,vct_2023
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Split,vct_2023
Valorant Champions 2023,Group Stage,Winner's (D),Natus Vincere vs DRX,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),NRG Esports vs Bilibili Gaming,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Opening (C),FNATIC vs ZETA DIVISION,Haven,vct_2023
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Winner's (B),Evil Geniuses vs FUT Esports,Bind,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),Paper Rex vs KRÜ Esports,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Split,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Bind,vct_2023
Valorant Champions 2023,Group Stage,Opening (A),EDward Gaming vs Giants Gaming,Ascent,vct_2023
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Haven,vct_2023
Valorant Champions 2023,Group Stage,Winner's (C),FNATIC vs Bilibili Gaming,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Haven,vct_2023
Valorant Champions 2023,Group Stage,Elimination (D),Team Liquid vs LOUD,Split,vct_2023
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Elimination (B),FunPlus Phoenix vs T1,Bind,vct_2023
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Fracture,vct_2023
Valorant Champions 2023,Group Stage,Winner's (A),Paper Rex vs EDward Gaming,Pearl,vct_2023
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,Lotus,vct_2023
Valorant Champions 2023,Group Stage,Elimination (A),KRÜ Esports vs Giants Gaming,Pearl,vct_2023
