Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID,tournament
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),Team Liquid vs Natus Vincere,247100,Fracture,137395,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),Team Liquid vs Natus Vincere,247100,Bind,137396,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),DRX vs LOUD,247101,Lotus,137398,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),DRX vs LOUD,247101,Split,137399,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (D),DRX vs LOUD,247101,Ascent,137400,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (B),FUT Esports vs T1,247087,Pearl,137368,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (B),FUT Esports vs T1,247087,Haven,137369,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (B),Evil Geniuses vs FunPlus Phoenix,247086,Ascent,137365,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (B),Evil Geniuses vs FunPlus Phoenix,247086,Pearl,137366,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Winner's (D),Natus Vincere vs DRX,247102,Bind,137401,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Winner's (D),Natus Vincere vs DRX,247102,Split,137402,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Winner's (D),Natus Vincere vs DRX,247102,Lotus,137403,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (C),NRG Esports vs Bilibili Gaming,247094,Lotus,137383,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (C),NRG Esports vs Bilibili Gaming,247094,Split,137384,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (C),FNATIC vs ZETA DIVISION,247093,Fracture,137380,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (C),FNATIC vs ZETA DIVISION,247093,Haven,137381,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Winner's (B),Evil Geniuses vs FUT Esports,247088,Pearl,137371,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Winner's (B),Evil Geniuses vs FUT Esports,247088,Bind,137372,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),Paper Rex vs KRÜ Esports,247075,Split,137350,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),Paper Rex vs KRÜ Esports,247075,Pearl,137351,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),EDward Gaming vs Giants Gaming,247076,Split,137353,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),EDward Gaming vs Giants Gaming,247076,Bind,137354,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Opening (A),EDward Gaming vs Giants Gaming,247076,Ascent,137355,vct_2023
Valorant Champions 2023,1657,Group Stage,3145,Winner's (C),FNATIC vs Bilibili Gaming,247095,Haven,137386,vct_2023
