match_id,map_name,map_order,score,winner,duration,picked_by,tournament
448598,Split,1,18 - 16,EDward Gaming,1:35:46,Team Liquid,bangkok
448598,Pearl,2,13 - 6,EDward Gaming,44:31,EDward Gaming,bangkok
448600,Lotus,1,13 - 3,DRX,45:20,Sentinels,bangkok
448600,Haven,2,13 - 10,DRX,50:13,DRX,bangkok
448599,Fracture,1,13 - 10,Team Vitality,1:02:22,Team Vitality,bangkok
448599,Bind,2,13 - 9,Team Vitality,51:56,T1,bangkok
448597,Lotus,1,13 - 8,G2 Esports,47:38,Trace Esports,bangkok
448597,Abyss,2,13 - 3,G2 Esports,36:36,G2 Esports,bangkok
449000,Bind,1,8 - 13,Team Vitality,58:50,Team Vitality,bangkok
449000,Abyss,2,13 - 11,DRX,51:55,DRX,bangkok
449000,Split,3,11 - 13,Team Vitality,57:01,Decider,bangkok
449001,Pearl,1,16 - 18,G2 Esports,1:21:52,G2 Esports,bangkok
449001,Bind,2,13 - 8,EDward Gaming,43:40,EDward Gaming,bangkok
449001,Fracture,3,13 - 4,EDward Gaming,35:06,Decider,bangkok
449002,Lotus,1,13 - 3,T1,45:37,Trace Esports,bangkok
449002,Haven,2,13 - 8,T1,42:04,T1,bangkok
449003,Lotus,1,7 - 13,Sentinels,53:41,Sentinels,bangkok
449003,Abyss,2,16 - 14,Team Liquid,1:02:50,Team Liquid,bangkok
449003,Bind,3,13 - 1,Team Liquid,30:20,Decider,bangkok
449004,Fracture,1,13 - 11,T1,1:04:03,DRX,bangkok
449004,Pearl,2,13 - 4,T1,39:01,T1,bangkok
449005,Haven,1,13 - 5,G2 Esports,48:57,Team Liquid,bangkok
449005,Lotus,2,13 - 7,G2 Esports,46:11,G2 Esports,bangkok
449008,Split,1,13 - 7,EDward Gaming,55:34,T1,bangkok
449008,Bind,2,6 - 13,T1,43:41,EDward Gaming,bangkok
449008,Pearl,3,13 - 11,EDward Gaming,1:01:00,Decider,bangkok
449009,Bind,1,13 - 15,G2 Esports,1:13:06,Team Vitality,bangkok
