map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament
Split,EDG,1,3 (1),2 (0),5 (2),24 (15),448598,bangkok
Split,TL,1,3 (1),2 (1),4 (2),25 (12),448598,bangkok
Pearl,EDG,1,3 (1),1 (1),2 (2),13 (9),448598,bangkok
Pearl,TL,1,2 (1),2 (0),6 (1),9 (4),448598,bangkok
All Maps,EDG,2,6 (2),3 (1),7 (4),37 (24),448598,bangkok
All Maps,TL,2,5 (2),4 (1),10 (3),34 (16),448598,bangkok
Lotus,DRX,2,2 (2),0 (0),5 (4),9 (7),448600,bangkok
Lotus,SEN,0,4 (0),1 (0),6 (1),5 (2),448600,bangkok
Haven,DRX,1,3 (1),1 (0),5 (4),14 (8),448600,bangkok
Haven,SEN,1,3 (1),2 (0),5 (3),13 (6),448600,bangkok
All Maps,DRX,3,5 (3),1 (0),10 (8),23 (15),448600,bangkok
All Maps,SEN,1,7 (1),3 (0),11 (4),18 (8),448600,bangkok
Fracture,VIT,1,3 (1),0 (0),4 (2),16 (10),448599,bangkok
Fracture,T1,1,4 (1),1 (0),6 (3),12 (6),448599,bangkok
Bind,VIT,1,3 (1),1 (1),5 (3),13 (8),448599,bangkok
Bind,T1,1,3 (1),4 (1),3 (1),12 (6),448599,bangkok
All Maps,VIT,2,6 (2),1 (1),9 (5),29 (18),448599,bangkok
All Maps,T1,2,7 (2),5 (1),9 (4),24 (12),448599,bangkok
Lotus,G2,1,3 (1),0 (0),4 (3),14 (9),448597,bangkok
Lotus,TE,1,3 (1),1 (0),8 (5),9 (2),448597,bangkok
Abyss,G2,2,2 (2),1 (0),4 (3),9 (8),448597,bangkok
Abyss,TE,0,4 (0),0 (0),4 (0),8 (3),448597,bangkok
All Maps,G2,3,5 (3),1 (0),8 (6),23 (17),448597,bangkok
All Maps,TE,1,7 (1),1 (0),12 (5),17 (5),448597,bangkok
Bind,DRX,1,3 (1),2 (1),5 (2),11 (4),449000,bangkok
Bind,VIT,1,3 (1),0 (0),5 (4),13 (8),449000,bangkok
Abyss,DRX,1,5 (1),1 (1),3 (1),15 (10),449000,bangkok
Abyss,VIT,1,2 (1),2 (1),8 (5),12 (4),449000,bangkok
All Maps,DRX,1,3 (1),1 (1),5 (2),15 (7),449000,bangkok
All Maps,VIT,1,3 (1),2 (2),3 (1),16 (9),449000,bangkok
Pearl,EDG,2,2 (2),1 (0),8 (4),23 (10),449001,bangkok
Pearl,G2,0,5 (0),2 (2),3 (2),24 (14),449001,bangkok
Bind,EDG,2,2 (2),2 (0),5 (2),12 (9),449001,bangkok
Bind,G2,0,3 (0),1 (0),6 (3),11 (5),449001,bangkok
All Maps,EDG,2,3 (2),0 (0),4 (3),10 (8),449001,bangkok
