Tournament,Stage,Match Type,Map,Agent,Pick Rate
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,sova,69%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,cypher,56%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,omen,56%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,viper,44%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,killjoy,38%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,raze,31%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,breach,31%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,fade,25%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,neon,25%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,jett,25%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,astra,19%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,gekko,19%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,harbor,19%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,yoru,13%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,brimstone,13%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,skye,6%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,deadlock,6%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,kayo,6%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,iso,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,phoenix,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,clove,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,reyna,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,sage,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,chamber,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,sova,75%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,cypher,100%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,omen,100%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,viper,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,killjoy,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,raze,25%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,breach,75%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,fade,25%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,neon,75%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,jett,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,astra,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,gekko,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,harbor,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,yoru,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,brimstone,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,skye,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,deadlock,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,kayo,25%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,iso,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,phoenix,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,clove,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,reyna,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,sage,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,chamber,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,sova,100%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,cypher,50%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,omen,25%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,viper,50%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,killjoy,50%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,raze,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,breach,0%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,fade,0%
