Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
Valorant Champions 2024,Playoffs,Upper Quarterfinals,All Maps,8,53%,47%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Sunset,2,36%,64%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Abyss,2,64%,36%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Bind,1,75%,25%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Haven,1,38%,62%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Icebox,1,67%,33%
Valorant Champions 2024,Playoffs,Upper Quarterfinals,Lotus,1,44%,56%
Valorant Champions 2024,Playoffs,Upper Semifinals,All Maps,5,61%,39%
Valorant Champions 2024,Playoffs,Upper Semifinals,Lotus,2,58%,42%
Valorant Champions 2024,Playoffs,Upper Semifinals,Icebox,1,58%,42%
Valorant Champions 2024,Playoffs,Upper Semifinals,Haven,1,59%,41%
Valorant Champions 2024,Playoffs,Upper Semifinals,Sunset,1,74%,26%
Valorant Champions 2024,Playoffs,Upper Final,All Maps,3,38%,62%
Valorant Champions 2024,Playoffs,Upper Final,Icebox,1,25%,75%
Valorant Champions 2024,Playoffs,Upper Final,Abyss,1,46%,54%
Valorant Champions 2024,Playoffs,Upper Final,Lotus,1,47%,53%
Valorant Champions 2024,Playoffs,Grand Final,All Maps,5,58%,42%
Valorant Champions 2024,Playoffs,Grand Final,Abyss,1,59%,41%
Valorant Champions 2024,Playoffs,Grand Final,Bind,1,54%,46%
Valorant Champions 2024,Playoffs,Grand Final,Haven,1,37%,63%
Valorant Champions 2024,Playoffs,Grand Final,Lotus,1,59%,41%
Valorant Champions 2024,Playoffs,Grand Final,Sunset,1,82%,18%
Valorant Champions 2024,Playoffs,Lower Round 1,All Maps,4,54%,46%
Valorant Champions 2024,Playoffs,Lower Round 1,Abyss,1,39%,61%
Valorant Champions 2024,Playoffs,Lower Round 1,Bind,1,63%,38%
Valorant Champions 2024,Playoffs,Lower Round 1,Haven,1,44%,56%
Valorant Champions 2024,Playoffs,Lower Round 1,Lotus,1,69%,31%
Valorant Champions 2024,Playoffs,Lower Round 2,All Maps,6,60%,40%
Valorant Champions 2024,Playoffs,Lower Round 2,Sunset,2,67%,33%
Valorant Champions 2024,Playoffs,Lower Round 2,Abyss,1,39%,61%
Valorant Champions 2024,Playoffs,Lower Round 2,Bind,1,68%,32%
