Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Gen.G,Pistol Won,,2
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Gen.G,Eco (won),2,2
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Gen.G,$ (won),1,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Gen.G,$$ (won),6,4
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Gen.G,$$$ (won),12,7
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Sentinels,Pistol Won,,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Sentinels,Eco (won),4,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Sentinels,$ (won),1,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Sentinels,$$ (won),5,2
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Sentinels,$$$ (won),11,6
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Gen.G,Pistol Won,,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Gen.G,Eco (won),3,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Gen.G,$ (won),0,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Gen.G,$$ (won),3,3
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Gen.G,$$$ (won),14,9
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Sentinels,Pistol Won,,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Sentinels,Eco (won),3,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Sentinels,$ (won),2,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Sentinels,$$ (won),5,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Sentinels,$$$ (won),10,5
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,Pistol Won,,3
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,Eco (won),5,3
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,$ (won),1,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,$$ (won),9,7
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,$$$ (won),26,16
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,Pistol Won,,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,Eco (won),7,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,$ (won),3,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,$$ (won),10,3
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,$$$ (won),21,11
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,FunPlus Phoenix,Pistol Won,,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,FunPlus Phoenix,Eco (won),4,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,FunPlus Phoenix,$ (won),3,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,FunPlus Phoenix,$$ (won),4,2
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,FunPlus Phoenix,$$$ (won),15,9
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,Team Heretics,Pistol Won,,2
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,Team Heretics,Eco (won),2,2
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,Team Heretics,$ (won),2,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,Team Heretics,$$ (won),7,4
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,Team Heretics,$$$ (won),15,8
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,FunPlus Phoenix,Pistol Won,,2
