Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,Lakia,"skye, sova",6,,,,,,,,,40,6,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,Munchkin,"kayo, viper",3,3,,,,,,,,49,6,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,t3xture,jett,9,1,1,,,1,,,,73,0,3
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,Meteor,killjoy,6,3,1,,1,,1,,,68,1,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Gen.G,Karon,omen,3,2,2,,1,,,,,54,6,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,TenZ,omen,6,1,,,,,,,,47,1,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,Sacy,sova,8,1,,,,,,,,72,3,3
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,Zellsis,"breach, cypher",2,2,,,,,,,,36,7,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,johnqt,"cypher, deadlock",4,1,,,,,,,,34,0,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,All Maps,Sentinels,zekken,jett,2,1,,,,,,,,38,1,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Gen.G,Lakia,skye,4,,,,,,,,,53,5,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Gen.G,Munchkin,viper,1,,,,,,,,,34,0,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Gen.G,t3xture,jett,6,1,1,,,1,,,,92,0,3
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Gen.G,Meteor,killjoy,4,1,1,,1,,1,,,60,0,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Gen.G,Karon,omen,2,1,,,,,,,,47,4,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Sentinels,TenZ,omen,3,1,,,,,,,,59,1,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Sentinels,Sacy,sova,5,,,,,,,,,65,1,2
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Sentinels,Zellsis,breach,,2,,,,,,,,39,6,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Sentinels,johnqt,cypher,3,,,,,,,,,37,0,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Haven,Sentinels,zekken,jett,2,,,,,,,,,26,1,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Gen.G,Lakia,sova,2,,,,,,,,,26,1,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Gen.G,Munchkin,kayo,2,3,,,,,,,,63,6,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Gen.G,t3xture,jett,3,,,,,,,,,53,0,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Gen.G,Meteor,killjoy,2,2,,,,,,,,76,1,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Gen.G,Karon,omen,1,1,2,,1,,,,,61,2,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Sentinels,TenZ,omen,3,,,,,,,,,34,0,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Sentinels,Sacy,sova,3,1,,,,,,,,78,2,1
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Sentinels,Zellsis,cypher,2,,,,,,,,,32,1,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Sentinels,johnqt,deadlock,1,1,,,,,,,,30,0,0
Valorant Champions 2024,Group Stage,Opening (B),Gen.G vs Sentinels,Ascent,Sentinels,zekken,jett,,1,,,,,,,,49,0,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,FunPlus Phoenix,Autumn,"chamber, viper",13,2,,,2,1,,,,52,3,3
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,FunPlus Phoenix,Life,"raze, yoru",4,4,,,1,,,,,45,6,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,FunPlus Phoenix,BerLIN,"astra, omen",8,2,,,,1,,,,42,6,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,FunPlus Phoenix,AAAAY,"fade, gekko",8,5,1,1,1,,,,,52,7,3
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,FunPlus Phoenix,Lysoar,"cypher, omen, viper",10,1,1,,1,,,,,53,7,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,Team Heretics,Boo,"astra, brimstone, fade",6,2,,,,,,,,42,4,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,Team Heretics,RieNs,"gekko, sova, viper",17,3,2,,1,1,,,,68,13,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,Team Heretics,MiniBoo,"jett, raze",10,1,,,,,,,,35,0,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,Team Heretics,Wo0t,"fade, gekko, omen",8,3,,,,,1,,,42,11,4
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,All Maps,Team Heretics,benjyfishy,"cypher, killjoy, viper",8,5,,,,1,,,,52,0,3
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,FunPlus Phoenix,Autumn,viper,4,,,,,,,,,54,1,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,FunPlus Phoenix,Life,yoru,,1,,,1,,,,,35,3,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,FunPlus Phoenix,BerLIN,omen,3,,,,,1,,,,48,4,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,FunPlus Phoenix,AAAAY,fade,2,2,1,1,,,,,,71,1,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,FunPlus Phoenix,Lysoar,cypher,4,,,,,,,,,47,2,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,Team Heretics,Boo,astra,2,,,,,,,,,36,0,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,Team Heretics,RieNs,sova,8,1,1,,1,1,,,,79,1,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,Team Heretics,MiniBoo,jett,1,,,,,,,,,24,0,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,Team Heretics,Wo0t,gekko,6,1,,,,,,,,51,10,2
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Abyss,Team Heretics,benjyfishy,cypher,2,,,,,,,,,36,0,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,FunPlus Phoenix,Autumn,chamber,3,2,,,2,1,,,,60,0,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,FunPlus Phoenix,Life,yoru,2,1,,,,,,,,60,3,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,FunPlus Phoenix,BerLIN,omen,2,,,,,,,,,29,2,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,FunPlus Phoenix,AAAAY,fade,1,2,,,,,,,,41,1,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,FunPlus Phoenix,Lysoar,viper,2,,1,,1,,,,,62,1,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,Team Heretics,Boo,brimstone,2,,,,,,,,,46,0,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,Team Heretics,RieNs,gekko,5,1,1,,,,,,,67,6,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,Team Heretics,MiniBoo,raze,3,,,,,,,,,30,0,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,Team Heretics,Wo0t,fade,1,1,,,,,,,,39,0,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Bind,Team Heretics,benjyfishy,viper,3,4,,,,,,,,84,0,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus,FunPlus Phoenix,Autumn,viper,6,,,,,,,,,42,2,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus,FunPlus Phoenix,Life,raze,2,2,,,,,,,,40,0,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus,FunPlus Phoenix,BerLIN,astra,3,2,,,,,,,,48,0,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus,FunPlus Phoenix,AAAAY,gekko,5,1,,,1,,,,,43,5,2
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus,FunPlus Phoenix,Lysoar,omen,4,1,,,,,,,,51,4,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus,Team Heretics,Boo,fade,2,2,,,,,,,,45,4,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus,Team Heretics,RieNs,viper,4,1,,,,,,,,57,6,0
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus,Team Heretics,MiniBoo,raze,6,1,,,,,,,,52,0,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus,Team Heretics,Wo0t,omen,1,1,,,,,1,,,35,1,1
Valorant Champions 2024,Group Stage,Opening (B),FunPlus Phoenix vs Team Heretics,Lotus,Team Heretics,benjyfishy,killjoy,3,1,,,,1,,,,36,0,3
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,DRX,BuZz,"jett, raze",6,4,,,,,,,,57,1,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,DRX,MaKo,"brimstone, omen",7,,,,,,,,,47,7,1
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,DRX,BeYN,"fade, sova",5,2,1,,2,1,,,,46,1,3
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,DRX,Foxy9,"breach, gekko, kayo",5,3,,,,,,,,51,7,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,DRX,Flashback,"cypher, viper",9,2,1,,2,,,,,63,0,2
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,KRÜ Esports,Melser,"brimstone, harbor, omen",6,2,1,,1,1,,,,69,0,2
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,KRÜ Esports,keznit,"neon, omen, raze",9,3,2,,,,,,,59,3,2
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,KRÜ Esports,heat,"breach, fade, sova",9,,,,,,,,,48,1,1
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,KRÜ Esports,Shyy,"cypher, viper",6,3,,,2,1,1,,,47,2,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,All Maps,KRÜ Esports,mta,"gekko, kayo, sova",7,2,,,,,,,,48,8,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven,DRX,BuZz,jett,1,,,,,,,,,44,0,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven,DRX,MaKo,omen,3,,,,,,,,,48,3,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven,DRX,BeYN,sova,1,,,,,,,,,26,0,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven,DRX,Foxy9,breach,2,,,,,,,,,42,1,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven,DRX,Flashback,cypher,1,1,,,,,,,,45,0,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven,KRÜ Esports,Melser,omen,4,2,1,,1,1,,,,127,0,1
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven,KRÜ Esports,keznit,neon,5,,1,,,,,,,72,0,1
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven,KRÜ Esports,heat,breach,2,,,,,,,,,59,0,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven,KRÜ Esports,Shyy,cypher,2,1,,,1,1,,,,53,0,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Haven,KRÜ Esports,mta,sova,2,,,,,,,,,24,2,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss,DRX,BuZz,jett,2,1,,,,,,,,65,0,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss,DRX,MaKo,omen,4,,,,,,,,,56,2,1
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss,DRX,BeYN,sova,2,1,1,,1,1,,,,48,1,1
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss,DRX,Foxy9,kayo,,1,,,,,,,,54,3,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss,DRX,Flashback,cypher,4,1,1,,1,,,,,84,0,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss,KRÜ Esports,Melser,harbor,1,,,,,,,,,33,0,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss,KRÜ Esports,keznit,omen,2,1,1,,,,,,,55,2,1
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss,KRÜ Esports,heat,sova,2,,,,,,,,,53,0,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss,KRÜ Esports,Shyy,cypher,1,1,,,1,,,,,34,2,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Abyss,KRÜ Esports,mta,kayo,4,2,,,,,,,,86,1,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Bind,DRX,BuZz,raze,3,3,,,,,,,,63,1,0
Valorant Champions 2024,Group Stage,Opening (A),DRX vs KRÜ Esports,Bind,DRX,MaKo,brimstone,,,,,,,,,,37,2,0
