Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
Valorant Champions 2024,2097,Group Stage,4035,Opening (B),Gen.G vs Sentinels,378662,Haven,180369
Valorant Champions 2024,2097,Group Stage,4035,Opening (B),Gen.G vs Sentinels,378662,Ascent,180370
Valorant Champions 2024,2097,Group Stage,4035,Opening (B),FunPlus Phoenix vs Team Heretics,378663,Abyss,180372
Valorant Champions 2024,2097,Group Stage,4035,Opening (B),FunPlus Phoenix vs Team Heretics,378663,Bind,180373
Valorant Champions 2024,2097,Group Stage,4035,Opening (B),FunPlus Phoenix vs Team Heretics,378663,Lotus,180374
Valorant Champions 2024,2097,Group Stage,4035,Opening (A),DRX vs KRÜ Esports,378657,Haven,180357
Valorant Champions 2024,2097,Group Stage,4035,Opening (A),DRX vs KRÜ Esports,378657,Abyss,180358
Valorant Champions 2024,2097,Group Stage,4035,Opening (A),DRX vs KRÜ Esports,378657,Bind,180359
Valorant Champions 2024,2097,Group Stage,4035,Opening (A),FNATIC vs Bilibili Gaming,378656,Bind,180354
Valorant Champions 2024,2097,Group Stage,4035,Opening (A),FNATIC vs Bilibili Gaming,378656,Lotus,180355
Valorant Champions 2024,2097,Group Stage,4035,Opening (C),LEVIATÁN vs Talon Esports,378667,Bind,180384
Valorant Champions 2024,2097,Group Stage,4035,Opening (C),LEVIATÁN vs Talon Esports,378667,Ascent,180385
Valorant Champions 2024,2097,Group Stage,4035,Opening (C),Team Vitality vs Trace Esports,378669,Ascent,180387
Valorant Champions 2024,2097,Group Stage,4035,Opening (C),Team Vitality vs Trace Esports,378669,Sunset,180388
Valorant Champions 2024,2097,Group Stage,4035,Opening (C),Team Vitality vs Trace Esports,378669,Bind,180389
Valorant Champions 2024,2097,Group Stage,4035,Opening (D),G2 Esports vs Paper Rex,378674,Icebox,180402
Valorant Champions 2024,2097,Group Stage,4035,Opening (D),G2 Esports vs Paper Rex,378674,Lotus,180403
Valorant Champions 2024,2097,Group Stage,4035,Opening (D),EDward Gaming vs FUT Esports,378673,Lotus,180399
Valorant Champions 2024,2097,Group Stage,4035,Opening (D),EDward Gaming vs FUT Esports,378673,Bind,180400
Valorant Champions 2024,2097,Group Stage,4035,Winner's (B),Gen.G vs Team Heretics,378664,Abyss,180375
Valorant Champions 2024,2097,Group Stage,4035,Winner's (B),Gen.G vs Team Heretics,378664,Lotus,180376
Valorant Champions 2024,2097,Group Stage,4035,Winner's (B),Gen.G vs Team Heretics,378664,Bind,180377
Valorant Champions 2024,2097,Group Stage,4035,Winner's (A),FNATIC vs DRX,378658,Abyss,180360
Valorant Champions 2024,2097,Group Stage,4035,Winner's (A),FNATIC vs DRX,378658,Lotus,180361
Valorant Champions 2024,2097,Group Stage,4035,Winner's (C),LEVIATÁN vs Trace Esports,378670,Bind,180390
Valorant Champions 2024,2097,Group Stage,4035,Winner's (C),LEVIATÁN vs Trace Esports,378670,Sunset,180391
Valorant Champions 2024,2097,Group Stage,4035,Winner's (C),LEVIATÁN vs Trace Esports,378670,Ascent,180392
Valorant Champions 2024,2097,Group Stage,4035,Winner's (D),EDward Gaming vs G2 Esports,378675,Icebox,180405
Valorant Champions 2024,2097,Group Stage,4035,Winner's (D),EDward Gaming vs G2 Esports,378675,Haven,180406
Valorant Champions 2024,2097,Group Stage,4035,Winner's (D),EDward Gaming vs G2 Esports,378675,Bind,180407
Valorant Champions 2024,2097,Group Stage,4035,Elimination (B),Sentinels vs FunPlus Phoenix,378665,Bind,180378
Valorant Champions 2024,2097,Group Stage,4035,Elimination (B),Sentinels vs FunPlus Phoenix,378665,Lotus,180379
Valorant Champions 2024,2097,Group Stage,4035,Elimination (A),Bilibili Gaming vs KRÜ Esports,378659,Lotus,180363
Valorant Champions 2024,2097,Group Stage,4035,Elimination (A),Bilibili Gaming vs KRÜ Esports,378659,Icebox,180364
Valorant Champions 2024,2097,Group Stage,4035,Elimination (C),Talon Esports vs Team Vitality,378671,Lotus,180393
Valorant Champions 2024,2097,Group Stage,4035,Elimination (C),Talon Esports vs Team Vitality,378671,Sunset,180394
Valorant Champions 2024,2097,Group Stage,4035,Elimination (D),FUT Esports vs Paper Rex,378676,Sunset,180408
Valorant Champions 2024,2097,Group Stage,4035,Elimination (D),FUT Esports vs Paper Rex,378676,Bind,180409
Valorant Champions 2024,2097,Group Stage,4035,Decider (B),Gen.G vs Sentinels,378666,Lotus,180381
Valorant Champions 2024,2097,Group Stage,4035,Decider (B),Gen.G vs Sentinels,378666,Icebox,180382
Valorant Champions 2024,2097,Group Stage,4035,Decider (A),FNATIC vs KRÜ Esports,378660,Sunset,180366
Valorant Champions 2024,2097,Group Stage,4035,Decider (A),FNATIC vs KRÜ Esports,378660,Haven,180367
Valorant Champions 2024,2097,Group Stage,4035,Decider (A),FNATIC vs KRÜ Esports,378660,Lotus,180368
Valorant Champions 2024,2097,Group Stage,4035,Decider (C),LEVIATÁN vs Team Vitality,378672,Icebox,180396
Valorant Champions 2024,2097,Group Stage,4035,Decider (C),LEVIATÁN vs Team Vitality,378672,Sunset,180397
Valorant Champions 2024,2097,Group Stage,4035,Decider (D),EDward Gaming vs Paper Rex,378677,Icebox,180411
Valorant Champions 2024,2097,Group Stage,4035,Decider (D),EDward Gaming vs Paper Rex,378677,Sunset,180412
Valorant Champions 2024,2097,Group Stage,4035,Decider (D),EDward Gaming vs Paper Rex,378677,Lotus,180413
Valorant Champions 2024,2097,Playoffs,4131,Upper Quarterfinals,DRX vs Sentinels,378822,Sunset,180414
Valorant Champions 2024,2097,Playoffs,4131,Upper Quarterfinals,DRX vs Sentinels,378822,Haven,180415
Valorant Champions 2024,2097,Playoffs,4131,Upper Quarterfinals,Trace Esports vs EDward Gaming,378823,Bind,180417
Valorant Champions 2024,2097,Playoffs,4131,Upper Quarterfinals,Trace Esports vs EDward Gaming,378823,Sunset,180418
Valorant Champions 2024,2097,Playoffs,4131,Upper Quarterfinals,G2 Esports vs LEVIATÁN,378824,Icebox,180420
Valorant Champions 2024,2097,Playoffs,4131,Upper Quarterfinals,G2 Esports vs LEVIATÁN,378824,Abyss,180421
Valorant Champions 2024,2097,Playoffs,4131,Upper Quarterfinals,Team Heretics vs FNATIC,378825,Lotus,180423
Valorant Champions 2024,2097,Playoffs,4131,Upper Quarterfinals,Team Heretics vs FNATIC,378825,Abyss,180424
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 1,DRX vs Trace Esports,378831,Lotus,180440
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 1,DRX vs Trace Esports,378831,Abyss,180441
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 1,G2 Esports vs FNATIC,378832,Haven,180443
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 1,G2 Esports vs FNATIC,378832,Bind,180444
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,Sentinels vs EDward Gaming,378826,Haven,180426
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,Sentinels vs EDward Gaming,378826,Lotus,180427
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,Sentinels vs EDward Gaming,378826,Sunset,180428
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,LEVIATÁN vs Team Heretics,378827,Icebox,180429
Valorant Champions 2024,2097,Playoffs,4131,Upper Semifinals,LEVIATÁN vs Team Heretics,378827,Lotus,180430
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Sentinels vs FNATIC,378834,Sunset,180449
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Sentinels vs FNATIC,378834,Bind,180450
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Sentinels vs FNATIC,378834,Lotus,180451
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Team Heretics vs DRX,378833,Abyss,180446
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Team Heretics vs DRX,378833,Sunset,180447
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 2,Team Heretics vs DRX,378833,Icebox,180448
Valorant Champions 2024,2097,Playoffs,4131,Upper Final,EDward Gaming vs LEVIATÁN,378828,Icebox,180432
Valorant Champions 2024,2097,Playoffs,4131,Upper Final,EDward Gaming vs LEVIATÁN,378828,Lotus,180433
Valorant Champions 2024,2097,Playoffs,4131,Upper Final,EDward Gaming vs LEVIATÁN,378828,Abyss,182971
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 3,Team Heretics vs Sentinels,378835,Haven,180452
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 3,Team Heretics vs Sentinels,378835,Icebox,180453
Valorant Champions 2024,2097,Playoffs,4131,Lower Round 3,Team Heretics vs Sentinels,378835,Abyss,180454
Valorant Champions 2024,2097,Playoffs,4131,Lower Final,LEVIATÁN vs Team Heretics,378836,Icebox,180455
Valorant Champions 2024,2097,Playoffs,4131,Lower Final,LEVIATÁN vs Team Heretics,378836,Sunset,180456
Valorant Champions 2024,2097,Playoffs,4131,Lower Final,LEVIATÁN vs Team Heretics,378836,Abyss,180457
Valorant Champions 2024,2097,Playoffs,4131,Lower Final,LEVIATÁN vs Team Heretics,378836,Lotus,180458
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,EDward Gaming vs Team Heretics,378829,Haven,180435
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,EDward Gaming vs Team Heretics,378829,Sunset,180436
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,EDward Gaming vs Team Heretics,378829,Lotus,180437
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,EDward Gaming vs Team Heretics,378829,Bind,180438
Valorant Champions 2024,2097,Playoffs,4131,Grand Final,EDward Gaming vs Team Heretics,378829,Abyss,180439
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,MIBR vs LEVIATÁN,353177,Ascent,173415
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,MIBR vs LEVIATÁN,353177,Icebox,173416
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,Sentinels vs NRG Esports,353178,Lotus,173418
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,Sentinels vs NRG Esports,353178,Sunset,173419
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,FURIA vs 100 Thieves,353179,Icebox,173421
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,FURIA vs 100 Thieves,353179,Haven,173422
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,LOUD vs Evil Geniuses,353180,Lotus,173424
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,LOUD vs Evil Geniuses,353180,Sunset,173425
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,LOUD vs Evil Geniuses,353180,Icebox,173426
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,G2 Esports vs Cloud9,353181,Ascent,173427
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,G2 Esports vs Cloud9,353181,Icebox,173428
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 1,G2 Esports vs Cloud9,353181,Lotus,173429
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Evil Geniuses vs FURIA,353182,Bind,173430
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Evil Geniuses vs FURIA,353182,Lotus,173431
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Sentinels vs KRÜ Esports,353183,Lotus,173433
Champions Tour 2024: Americas Stage 2,2095,Regular Season,4031,Week 2,Sentinels vs KRÜ Esports,353183,Split,173434
